"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"496",15460,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0048894598469124,0.00727960066362856,0.0097574814039078,0.0120177502662828,0.0145246814170398,"BBB"
"11",15461,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00479255564238215,0.00720999282046069,0.00962775703143513,0.0120191266496785,0.0144633943379573,"BBB"
"26",15462,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0047630330060854,0.00715095790274123,0.0095992678180672,0.0119081888200059,0.0144552669296803,"BBB"
"44",15463,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00472621132486628,0.00714603526620753,0.00962348305913148,0.0119212824543181,0.0145301740996078,"BBB"
"63",15464,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00516351416060739,0.00770324344370002,0.0101465791689618,0.0128351530640303,0.0151357448793241,"BBB"
"115",15467,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00515783476745222,0.00771518586776727,0.0102873283227784,0.0127740129637707,0.015366668321152,"BBB"
"131",15468,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00573279640004993,0.0082719664756073,0.0110189403954096,0.0137168750202502,0.0164388410808018,"BBB"
"146",15469,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00610855160233646,0.00869780884372278,0.0114147403919309,0.0138902902842921,0.016640805129882,"BBB"
"164",15470,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0058633935342058,0.00846333490040316,0.0112342699935049,0.0139502996252669,0.0166293239436211,"BBB"
"183",15471,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00579520754707444,0.00841326829305411,0.0113787454674845,0.014148713287114,0.0168919322459815,"BBB"
"235",15474,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00630249681165801,0.00897812916040972,0.0118622971126082,0.0149513484334267,0.017746808909594,"BBB"
"251",15475,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00629795496304688,0.00906475587373734,0.0120302942646819,0.015181251047486,0.0180921483740218,"BBB"
"266",15476,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.006365562129299,0.00907828210350543,0.0122178028076978,0.015197508012412,0.0182925577829974,"BBB"
"284",15477,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0065160495892748,0.00935622872478959,0.0125850974803836,0.0156597593913755,0.0188362225462953,"BBB"
"303",15478,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00678759768067168,0.00985117447545973,0.0129543914940629,0.0164746407166435,0.0196915676651286,"BBB"
"355",15481,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00664100442782399,0.00975334379838617,0.0131779224258904,0.0164403662849144,0.0195332824553851,"BBB"
"371",15482,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00685007559250306,0.0100744389103089,0.0135732698421975,0.0169086749486793,0.0200693775448276,"BBB"
"386",15483,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0072937076592618,0.0104581145278625,0.0138740328461935,0.0173429641108861,0.0206978778319619,"BBB"
"404",15484,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00640187361481208,0.00955297557581422,0.0128739395977485,0.0163188323950051,0.0195471630412544,"BBB"
"423",15485,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00631171029804254,0.00962736705935681,0.0128366490649646,0.0163068818687105,0.0195496672032425,"BBB"
"475",15488,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00631168909775085,0.00962734834666825,0.0128367685419931,0.0163072171368208,0.0195505422236016,"BBB"
"490",15489,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00589289300530847,0.00918566086150504,0.0124643414436658,0.0156998365508624,0.0190066613835139,"BBB"
"506",15490,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00630113154418454,0.00952025443578585,0.0127922689042075,0.0161314820106266,0.0193302895819275,"BBB"
"520",15491,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00639364812583339,0.00954921753142245,0.0126714289497728,0.0159025283531159,0.0194692659432975,"BBB"
"9",15492,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00655641914629605,0.00985162284052362,0.0131943169387286,0.0165029814312564,0.0199308164645255,"BBB"
"59",15495,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00643177114662323,0.00986651398856337,0.0132395636653633,0.0165435666474625,0.0201144646367846,"BBB"
"77",15496,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00668659002606573,0.0100451542232649,0.0134633665150006,0.0166847577898077,0.0200986595555624,"BBB"
"94",15497,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00612759503521136,0.00967482479287089,0.0131336010648349,0.0163598310683772,0.0198326685599703,"BBB"
"111",15498,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00611108797422724,0.00959717315830295,0.0129930254004421,0.016274965228972,0.0196316970341743,"BBB"
"129",15499,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00620662850568772,0.00980106589509883,0.013295634960785,0.016423698323455,0.0199560427023159,"BBB"
"179",15502,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00609011474969163,0.00970803386961746,0.0132260648658884,0.0162983492344676,0.0199694420607498,"BBB"
"197",15503,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00629769374871269,0.00986469773645944,0.0134299616172139,0.0165115738295089,0.020159591472643,"BBB"
"214",15504,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00632821435977184,0.00991844819039963,0.0134474314816185,0.0165497111317381,0.0202367028133595,"BBB"
"231",15505,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00634145610795843,0.00969688112814894,0.0131808701999068,0.0162661960533066,0.019842935596386,"BBB"
"249",15506,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0060301582507773,0.0095459170443331,0.0129408161497458,0.0160740905886971,0.0196839484765884,"BBB"
"299",15509,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00582402321401584,0.00941473529861798,0.0127345350170442,0.0159524233276692,0.0194529790403278,"BBB"
"317",15510,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00595329421765243,0.00905820262960481,0.012235908945516,0.0153584309132728,0.0186803941797258,"BBB"
