"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00194810652463018,0.00326414513681958,0.00439647876655038,0.00590245662534715,0.00707344842244227,"BBB"
"249",15825,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00187801041149406,0.00316666494054699,0.00422222226776703,0.00584081179100672,0.00690006177886758,"BBB"
"5",15826,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00207160436502514,0.00332152938949782,0.00434272160750173,0.00579508680553557,0.00699161162676886,"BBB"
"13",15827,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00213599305158214,0.0033729314592004,0.00438267419213349,0.00577239796085971,0.00702183152572579,"BBB"
"23",15828,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00215765492588562,0.0033901611968586,0.00439605481449553,0.00576135406644415,0.00703181613580372,"BBB"
"49",15831,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0021644140579259,0.00339561860418447,0.00440034429616016,0.00575708020551534,0.00703515435578642,"BBB"
"58",15832,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00216662333163405,0.00339731362890783,0.00440166612422943,0.00575341122024298,0.00703623328309489,"BBB"
"65",15833,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00216721514388729,0.0033979065082057,0.00440205406730169,0.0057516519024873,0.00703631661936595,"BBB"
"73",15834,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0017475003961537,0.00291697148699173,0.004032610863001,0.00534841248778907,0.00673054882418756,"BBB"
"83",15835,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00164258262997861,0.0027966455143273,0.00393992141620681,0.00521264281193589,0.00665349918738944,"BBB"
"109",15838,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00161335834069139,0.00276152295994157,0.00391079224644081,0.00515918005773015,0.00662884696962608,"BBB"
"118",15839,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00160613261337479,0.00275315479319852,0.0039038706605554,0.00514167232367027,0.00662268494212816,"BBB"
"125",15840,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00160785097722509,0.00275391534489307,0.00390449625632861,0.00513835489004668,0.00662335746878762,"BBB"
"133",15841,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00160800065835945,0.00275405022244978,0.00441848953096535,0.00513467303082366,0.0066224768598233,"BBB"
"143",15842,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00182613078980378,0.00292235461576205,0.00455632191040484,0.0052737453670718,0.00669607937172289,"BBB"
"169",15845,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00186968060643095,0.00295651613097661,0.00458456870125008,0.0053093741144097,0.00671156869742777,"BBB"
"178",15846,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00187826904468233,0.00296320591484432,0.00459015170601106,0.00531837776541048,0.00671455211201868,"BBB"
"185",15847,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00168053756389187,0.0027655648002053,0.00439218216754473,0.00507183101627927,0.00661655534002337,"BBB"
"193",15848,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0016409337161622,0.00272653741394175,0.0043534111744517,0.00501081465185364,0.00659886946155817,"BBB"
"203",15849,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0016527823578215,0.00273790234418491,0.00436471394541284,0.00501997575871735,0.00661410186262404,"BBB"
"229",15852,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00217362769661366,0.00314264666188153,0.00427110476092643,0.00529162816475249,0.00682798705248755,"BBB"
"238",15853,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00230018725728127,0.00323672140390675,0.00423922434162227,0.00534463845473242,0.00686055047777933,"BBB"
"246",15854,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0023315225074015,0.00326068725785408,0.00423080209178176,0.0053580612056716,0.00686924144232549,"BBB"
"255",15855,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00236456764316616,0.00329161915246805,0.00425399143470777,0.00538686487263782,0.00689693103311504,"BBB"
"262",15856,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00237295819329626,0.00329980961612317,0.00426082032432257,0.0053955707409637,0.00690560462018016,"BBB"
"21",15859,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00237529778363521,0.00330278321850982,0.00426441382219477,0.00540010486625843,0.00691019185689958,"BBB"
"30",15860,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.002235407552539,0.00317204180120199,0.00412065731892543,0.0052689159889413,0.00685052321110103,"BBB"
"39",15861,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00218891255056598,0.00313006454366833,0.00407317218713588,0.00522645961849705,0.00683212227118689,"BBB"
"47",15862,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00224011610665504,0.00318153748352765,0.00412272866216498,0.00527766537736377,0.00689153200262573,"BBB"
"56",15863,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00225707656963695,0.00319891998066028,0.00414053498109001,0.00529675451551545,0.00691377588534004,"BBB"
"81",15866,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226304377609569,0.00320608658414939,0.00414948546588109,0.00530704564977444,0.00692511977239457,"BBB"
"90",15867,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226512551547846,0.00320869496649186,0.00415210645456894,0.00530999926411723,0.00692973071831169,"BBB"
"99",15868,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226588376528468,0.00321102871386199,0.00415330127948319,0.00531217355856018,0.00693271261582786,"BBB"
"107",15869,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226671222770452,0.0032119044844519,0.00415448918228543,0.00531433863788813,0.00693568023836201,"BBB"
"116",15870,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226725793644068,0.00321225808638579,0.00415460799794401,0.00531468983005383,0.00693659918149344,"BBB"
"141",15873,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226820766818574,0.00321406087427976,0.00415736696964923,0.00531955640775145,0.00694359921457414,"BBB"
"150",15874,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00226829287423677,0.00321424474423626,0.00415806640668644,0.00531994470668821,0.00694431803118702,"BBB"
"159",15875,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0021171750143365,0.00315284293289505,0.00419063850623304,0.00537025068971231,0.00688154796381306,"BBB"
"167",15876,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00218590938482158,0.00322096045028867,0.00425928412548482,0.00543887670463158,0.00694967313980831,"BBB"
"176",15877,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00215822695861423,0.00322245913785234,0.00429184026694189,0.00547699537531509,0.006949774336902,"BBB"
"201",15880,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00164527786895212,0.00271118168669806,0.0039002960667889,0.00516880920788458,0.00664579069990516,"BBB"
"210",15881,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00139669729974272,0.00247298324809071,0.0037445568872416,0.00508052782734948,0.00659903845223816,"BBB"
