Id,YellowKey,Date,DiscountFactor
S0023D 2Y BLC2,Curncy,6/3/2011,0.987568
S0023D 3Y BLC2,Curncy,6/3/2011,0.96955
S0023D 4Y BLC2,Curncy,6/3/2011,0.943246
S0023D 5Y BLC2,Curncy,6/3/2011,0.910155
S0023D 1Y BLC2,Curncy,6/10/2011,0.996394
S0023D 2Y BLC2,Curncy,6/10/2011,0.988252
S0023D 3Y BLC2,Curncy,6/10/2011,0.971269
S0023D 4Y BLC2,Curncy,6/10/2011,0.945442
S0023D 5Y BLC2,Curncy,6/10/2011,0.912768
S0023D 1Y BLC2,Curncy,6/17/2011,0.995899
S0023D 2Y BLC2,Curncy,6/17/2011,0.987277
S0023D 3Y BLC2,Curncy,6/17/2011,0.969971
S0023D 4Y BLC2,Curncy,6/17/2011,0.944005
S0023D 5Y BLC2,Curncy,6/17/2011,0.911054
S0023D 1Y BLC2,Curncy,6/24/2011,0.995543
S0023D 2Y BLC2,Curncy,6/24/2011,0.987406
S0023D 3Y BLC2,Curncy,6/24/2011,0.97156
S0023D 4Y BLC2,Curncy,6/24/2011,0.947033
S0023D 5Y BLC2,Curncy,6/24/2011,0.915512
S0023D 1Y BLC2,Curncy,7/1/2011,0.996008
S0023D 2Y BLC2,Curncy,7/1/2011,0.985653
S0023D 3Y BLC2,Curncy,7/1/2011,0.965191
S0023D 4Y BLC2,Curncy,7/1/2011,0.936602
S0023D 5Y BLC2,Curncy,7/1/2011,0.901335
S0023D 1Y BLC2,Curncy,7/8/2011,0.995995
S0023D 2Y BLC2,Curncy,7/8/2011,0.987398
S0023D 3Y BLC2,Curncy,7/8/2011,0.969835
S0023D 4Y BLC2,Curncy,7/8/2011,0.942883
S0023D 5Y BLC2,Curncy,7/8/2011,0.909049
S0023D 1Y BLC2,Curncy,7/15/2011,0.995268
S0023D 2Y BLC2,Curncy,7/15/2011,0.987032
S0023D 3Y BLC2,Curncy,7/15/2011,0.970894
S0023D 4Y BLC2,Curncy,7/15/2011,0.945829
S0023D 5Y BLC2,Curncy,7/15/2011,0.913719
S0023D 1Y BLC2,Curncy,7/22/2011,0.995829
S0023D 2Y BLC2,Curncy,7/22/2011,0.987677
S0023D 3Y BLC2,Curncy,7/22/2011,0.97141
S0023D 4Y BLC2,Curncy,7/22/2011,0.946271
S0023D 5Y BLC2,Curncy,7/22/2011,0.913776
S0023D 1Y BLC2,Curncy,7/29/2011,0.995464
S0023D 2Y BLC2,Curncy,7/29/2011,0.988203
S0023D 3Y BLC2,Curncy,7/29/2011,0.97443
S0023D 4Y BLC2,Curncy,7/29/2011,0.951846
S0023D 5Y BLC2,Curncy,7/29/2011,0.921216
S0023D 1Y BLC2,Curncy,8/5/2011,0.995991
S0023D 2Y BLC2,Curncy,8/5/2011,0.989268
S0023D 3Y BLC2,Curncy,8/5/2011,0.976132
S0023D 4Y BLC2,Curncy,8/5/2011,0.954203
S0023D 5Y BLC2,Curncy,8/5/2011,0.925089
S0023D 1Y BLC2,Curncy,8/12/2011,0.995483
S0023D 2Y BLC2,Curncy,8/12/2011,0.991117
S0023D 3Y BLC2,Curncy,8/12/2011,0.982422
S0023D 4Y BLC2,Curncy,8/12/2011,0.964661
S0023D 5Y BLC2,Curncy,8/12/2011,0.939417
S0023D 1Y BLC2,Curncy,8/19/2011,0.995253
S0023D 2Y BLC2,Curncy,8/19/2011,0.990373
S0023D 3Y BLC2,Curncy,8/19/2011,0.981378
S0023D 4Y BLC2,Curncy,8/19/2011,0.964974
S0023D 5Y BLC2,Curncy,8/19/2011,0.941983
S0023D 1Y BLC2,Curncy,8/26/2011,0.995282
S0023D 2Y BLC2,Curncy,8/26/2011,0.990102
S0023D 3Y BLC2,Curncy,8/26/2011,0.980686
S0023D 4Y BLC2,Curncy,8/26/2011,0.963294
S0023D 5Y BLC2,Curncy,8/26/2011,0.938915
S0023D 1Y BLC2,Curncy,9/2/2011,0.995006
S0023D 2Y BLC2,Curncy,9/2/2011,0.989873
S0023D 3Y BLC2,Curncy,9/2/2011,0.981373
S0023D 4Y BLC2,Curncy,9/2/2011,0.965663
S0023D 5Y BLC2,Curncy,9/2/2011,0.943704
S0023D 1Y BLC2,Curncy,9/9/2011,0.994909
S0023D 2Y BLC2,Curncy,9/9/2011,0.989759
S0023D 3Y BLC2,Curncy,9/9/2011,0.981232
S0023D 4Y BLC2,Curncy,9/9/2011,0.965885
S0023D 5Y BLC2,Curncy,9/9/2011,0.944628
S0023D 1Y BLC2,Curncy,9/16/2011,0.995324
S0023D 2Y BLC2,Curncy,9/16/2011,0.990168
S0023D 3Y BLC2,Curncy,9/16/2011,0.980765
S0023D 4Y BLC2,Curncy,9/16/2011,0.963903
S0023D 5Y BLC2,Curncy,9/16/2011,0.940574
S0023D 1Y BLC2,Curncy,9/23/2011,0.99515
S0023D 2Y BLC2,Curncy,9/23/2011,0.989786
